Logf,LogLaplaceCovariance,GI
-1176.944381,-1273.657635,5
-1183.370117,-1274.357845,6
-1179.690852,-1268.529586,6.5
-1166.818883,-1254.590487,7
-1160.537988,-1245.260524,8
-1116.271007,-1206.934365,AR2
-1209.105824,-1292.934269,AR3
-1209.105824,-1244.150422,AR3_1.5_cov
-1209.105824,-1261.562131,AR3_1.25_cov
-899.4938762,-939.6804907,W_4
-1157.38775,-1260.150751,W_1
-958.6720938,-1002.790294,W_3
-840.8243612,-875.3883192,W_7
-840.8243612,-875.3883192,W_7
-1094.130799,-1169.864675,20
-81453.12957,-81539.76826,40
-840.8243612,-870.6251508,W_7_diag
-1027.301824,-1069.178332,W_diag_2
-1027.301824,-1069.178258,W_2
-1214.87088,-1309.520198,9
-1220.914234,-1312.524388,10
-2100.978341,-2166.281852,AR4
