"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","t"
"25982","31/12/2019",31,12,2019,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2019-12-31
"25981","01/01/2020",1,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-01
"25980","02/01/2020",2,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-02
"25979","03/01/2020",3,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-03
"25978","04/01/2020",4,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-04
"25977","05/01/2020",5,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-05
"25976","06/01/2020",6,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-06
"25975","07/01/2020",7,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-07
"25974","08/01/2020",8,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-08
"25973","09/01/2020",9,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-09
"25972","10/01/2020",10,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-10
"25971","11/01/2020",11,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-11
"25970","12/01/2020",12,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",NA,2020-01-12
"25969","13/01/2020",13,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-13
"25968","14/01/2020",14,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-14
"25967","15/01/2020",15,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-15
"25966","16/01/2020",16,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-16
"25965","17/01/2020",17,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-17
"25964","18/01/2020",18,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-18
"25963","19/01/2020",19,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0,2020-01-19
"25962","20/01/2020",20,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.00195216,2020-01-20
"25961","21/01/2020",21,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00195216,2020-01-21
"25960","22/01/2020",22,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00195216,2020-01-22
"25959","23/01/2020",23,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00195216,2020-01-23
"25958","24/01/2020",24,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.00390432,2020-01-24
"25957","25/01/2020",25,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00390432,2020-01-25
"25956","26/01/2020",26,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.00585648,2020-01-26
"25955","27/01/2020",27,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.00780864,2020-01-27
"25954","28/01/2020",28,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00780864,2020-01-28
"25953","29/01/2020",29,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00780864,2020-01-29
"25952","30/01/2020",30,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.00780864,2020-01-30
"25951","31/01/2020",31,1,2020,3,0,"South_Korea","KR","KOR",51225321,"Asia",0.01366512,2020-01-31
"25950","01/02/2020",1,2,2020,5,0,"South_Korea","KR","KOR",51225321,"Asia",0.02342591,2020-02-01
"25949","02/02/2020",2,2,2020,3,0,"South_Korea","KR","KOR",51225321,"Asia",0.02928239,2020-02-02
"25948","03/02/2020",3,2,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",0.02733023,2020-02-03
"25947","04/02/2020",4,2,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.02928239,2020-02-04
"25946","05/02/2020",5,2,2020,2,0,"South_Korea","KR","KOR",51225321,"Asia",0.03318671,2020-02-05
"25945","06/02/2020",6,2,2020,5,0,"South_Korea","KR","KOR",51225321,"Asia",0.04294751,2020-02-06
"25944","07/02/2020",7,2,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",0.04294751,2020-02-07
