"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2019","continentExp","t"
"22780","31/12/2019",31,12,2019,0,0,"South_Korea","KR","KOR",51225321,"Asia",2019-12-31
"22779","01/01/2020",1,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-01
"22778","02/01/2020",2,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-02
"22777","03/01/2020",3,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-03
"22776","04/01/2020",4,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-04
"22775","05/01/2020",5,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-05
"22774","06/01/2020",6,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-06
"22773","07/01/2020",7,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-07
"22772","08/01/2020",8,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-08
"22771","09/01/2020",9,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-09
"22770","10/01/2020",10,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-10
"22769","11/01/2020",11,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-11
"22768","12/01/2020",12,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-12
"22767","13/01/2020",13,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-13
"22766","14/01/2020",14,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-14
"22765","15/01/2020",15,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-15
"22764","16/01/2020",16,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-16
"22763","17/01/2020",17,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-17
"22762","18/01/2020",18,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-18
"22761","19/01/2020",19,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-19
"22760","20/01/2020",20,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-20
"22759","21/01/2020",21,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-21
"22758","22/01/2020",22,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-22
"22757","23/01/2020",23,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-23
"22756","24/01/2020",24,1,2020,1,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-24
"22755","25/01/2020",25,1,2020,0,0,"South_Korea","KR","KOR",51225321,"Asia",2020-01-25
