Laplace,Referenced TI,Power posterior,PP 100 temperatures
-301.36350960000004,-301.7038983,-312.0870358,-301.55923331280036
-301.368728,-301.704752,-313.0960183,-301.55923331280036
-301.36877000000004,-301.7088829,-313.0124513,-301.55923331280036
-301.3299633,-301.7068244,-312.8535648,-301.55923331280036
-301.3477287,-301.7011816,-312.8471923,-301.55923331280036
-301.346471,-301.7078774,-312.6058262,-301.55923331280036
-301.3079757,-301.70522789999995,-312.35434289999995,-301.55923331280036
-301.3419476,-301.7044518,-312.2981417,-301.55923331280036
-301.3127875,-301.70311569999996,-312.37034819999997,-301.55923331280036
-301.35494889999995,-301.705514,-311.77304110000006,-301.55923331280036
-301.392173,-301.70729689999996,-312.6178957,-301.55923331280036
-301.32489879999997,-301.7036436,-312.5189576,-301.55923331280036
-301.3959079,-301.703876,-311.83604130000003,-301.55923331280036
-301.3646686,-301.7017986,-312.3231148,-301.55923331280036
-301.3500592,-301.7077348,-312.1699795,-301.55923331280036
